n_estimators,max_samples,threshold_percentile,threshold,precision,recall,f1,false_positive_rate,accuracy,train_flagged_ratio
100,auto,90.0,0.48661945822084923,0.0,0.0,0.0,0.0,0.2,0.25
100,auto,92.5,0.48957476279260126,0.0,0.0,0.0,0.0,0.2,0.25
100,auto,95.0,0.49253006736435323,0.0,0.0,0.0,0.0,0.2,0.25
100,auto,97.5,0.49548537193610526,0.0,0.0,0.0,0.0,0.2,0.25
100,256,90.0,0.48661945822084923,0.0,0.0,0.0,0.0,0.2,0.25
100,256,92.5,0.48957476279260126,0.0,0.0,0.0,0.0,0.2,0.25
100,256,95.0,0.49253006736435323,0.0,0.0,0.0,0.0,0.2,0.25
100,256,97.5,0.49548537193610526,0.0,0.0,0.0,0.0,0.2,0.25
200,auto,90.0,0.4804076846995052,0.0,0.0,0.0,0.0,0.2,0.25
200,auto,92.5,0.4826053012550207,0.0,0.0,0.0,0.0,0.2,0.25
200,auto,95.0,0.4848029178105362,0.0,0.0,0.0,0.0,0.2,0.25
200,auto,97.5,0.48700053436605173,0.0,0.0,0.0,0.0,0.2,0.25
200,256,90.0,0.4804076846995052,0.0,0.0,0.0,0.0,0.2,0.25
200,256,92.5,0.4826053012550207,0.0,0.0,0.0,0.0,0.2,0.25
200,256,95.0,0.4848029178105362,0.0,0.0,0.0,0.0,0.2,0.25
200,256,97.5,0.48700053436605173,0.0,0.0,0.0,0.0,0.2,0.25
300,auto,90.0,0.47865156404384746,0.0,0.0,0.0,0.0,0.2,0.25
300,auto,92.5,0.48007344405365227,0.0,0.0,0.0,0.0,0.2,0.25
300,auto,95.0,0.48149532406345713,0.0,0.0,0.0,0.0,0.2,0.25
300,auto,97.5,0.48291720407326194,0.0,0.0,0.0,0.0,0.2,0.25
300,256,90.0,0.47865156404384746,0.0,0.0,0.0,0.0,0.2,0.25
300,256,92.5,0.48007344405365227,0.0,0.0,0.0,0.0,0.2,0.25
300,256,95.0,0.48149532406345713,0.0,0.0,0.0,0.0,0.2,0.25
300,256,97.5,0.48291720407326194,0.0,0.0,0.0,0.0,0.2,0.25
